,rna,method,LociPARSE,RNArank,RNA3DCNN,ARES,tb_mcq,PAMnet,clash,3drnascore,RNA-BRiQ,RASP-ENERGY,DFIRE,cgRNASP
145,dataset3.RNAJP.ENST00000408239.em_predicted_ENST00000408239-1.fixed.pdb,RNAJP,0.65,0.608,14.268283,6.36,15.72,5.71,27.46092099704267,27.22,-14.69,-34310.2,-45373.14,-373.47
146,dataset3.3dRNA.ENST00000516765.test_01.pred4.min.fixed.pdb,3dRNA,0.7,0.912,16.828178,7.58,27.27,4.59,30.176415970287838,29.25,87.76,-30927.3,-45060.52,-392.52
147,dataset3.RNAComposer.ENST00000516765.fixed.pdb,RNAComposer,0.51,0.524,14.198582,6.72,17.69,7.43,19.96285979572888,28.26,97.82,-23233.6,-36729.98,-332.65
148,dataset1.DeepFoldRNA.ENST00000516765.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.66,0.642,13.88304,7.2,16.07,4.12,24.719101123595507,24.91,63.61,-31260.3,-41535.09,-324.02
149,dataset3.DRfold2.ENST00000516765.DPR.fixed.pdb,DRfold2,0.68,0.64,12.502572,6.84,20.41,4.02,26.88919796012981,35.67,541.52,-34021.3,-48840.24,-432.6
151,dataset3.trRosettaRNA.ENST00000516765.model_1.fixed.pdb,trRosettaRNA,0.62,0.785,22.899757,7.29,26.36,7.14,22.716736207695874,26.01,143.63,-28407.5,-39128.1,-397.79
152,dataset3.Vfold.ENST00000516765.npk1_vfold.fixed.pdb,Vfold,0.7,0.769,14.254896,6.98,15.64,5.46,16.226240148354197,33.6,211.64,-29906.0,-44581.5,-372.96
153,dataset3.RNAJP.ENST00000516765.em_predicted_ENST00000516765-1.fixed.pdb,RNAJP,0.66,0.609,12.936105,6.86,13.99,4.59,35.93890386343217,25.73,-5.92,-32547.1,-44314.56,-393.87
157,dataset3.AF3.ENST00000516765.model_0.fixed.pdb,Alphafold3,0.79,0.577,2.2553682,6.06,9.0,2.84,8.368200836820083,32.49,-205.72,-48444.5,-52660.16,-545.56
158,dataset3.NuFold.ENST00000516765_rank_1.pdb,NuFold,0.64,0.469,6.6234684,6.87,10.98,6.9,3.4891835310537336,30.12,-14.78,-34220.1,-36806.86,-310.19
164,dataset3.Rhofold.ENST00000516765.relaxed_1000.fixed.pdb,RhoFold,0.61,0.715,23.735846,8.24,56.44,8.38,5.10677808727948,37.24,457.45,-18773.5,-28136.72,-247.19
172,dataset3.DRfold.ENST00000516765.DPR.fixed.pdb,DRfold,0.6,0.593,15.935958,7.74,22.97,7.4,25.998142989786444,33.59,937.39,-26985.8,-36672.23,-292.03
173,dataset1.SimRNA.ENST00000516765.fixed.pdb,SimRNA,0.58,0.308,10.859783,8.1060066,16.89,3.88,40.333796940194716,33.97,381.48,-33315.7,-42340.65,-402.99
174,dataset3.RoseTTAFold2NA.ENST00000516765.model_00.fixed.pdb,RoseTTAFold2NA,0.75,0.537,7.818878,7.2,11.44,4.97,57.95085767269356,28.77,68.76,-41429.8,-46344.84,-410.97
186,dataset3.trRosettaRNA.ENST00000618281.model_1.fixed.pdb,trRosettaRNA,0.63,0.689,23.998625,7.42,21.53,6.28,20.177838577291382,26.61,50.09,-41473.0,-54334.77,-494.34
187,dataset3.RNAJP.ENST00000618281.em_predicted_ENST00000618281-1.fixed.pdb,RNAJP,0.72,0.646,11.580518,6.23,16.42,4.28,25.84493041749503,26.63,-9.33,-53462.7,-61595.06,-503.47
188,dataset3.NuFold.ENST00000618281_rank_1.pdb,NuFold,0.72,0.553,7.2706175,6.67,12.25,5.66,7.755946225439503,30.91,84.99,-54493.3,-62193.03,-482.57
189,dataset3.RNAComposer.ENST00000618281.fixed.pdb,RNAComposer,0.66,0.886,19.911346,7.23,19.43,6.18,31.838411502909963,28.69,67.84,-35591.3,-54276.69,-437.77
190,dataset3.DRfold2.ENST00000618281.DPR.fixed.pdb,DRfold2,0.74,0.622,7.006146,6.46,19.6,4.57,12.995896032831737,31.73,62.9,-62353.6,-69452.16,-681.97
191,dataset3.Rhofold.ENST00000618281.relaxed_1000.fixed.pdb,RhoFold,0.58,0.691,32.182533,7.93,50.65,6.6,6.162273194111606,36.89,522.35,-33458.6,-49879.75,-492.36
192,dataset3.AF3.ENST00000618281.model_0.fixed.pdb,Alphafold3,0.8,0.583,2.2733767,6.32,12.33,2.94,7.235142118863049,31.7,-206.01,-70216.8,-75101.23,-694.82
194,dataset1.SimRNA.ENST00000618281.fixed.pdb,SimRNA,0.6,0.409,18.674454,7.37,20.37,4.64,64.2954856361149,33.07,1125.24,-41481.6,-57617.97,-533.19
197,dataset3.RoseTTAFold2NA.ENST00000618281.model_00.fixed.pdb,RoseTTAFold2NA,0.59,0.358,14.439635,7.65,14.65,8.9,10.943912448700411,28.24,224.79,-36852.6,-39873.93,-251.38
199,dataset3.Vfold.ENST00000618281.npk1_vfold.fixed.pdb,Vfold,0.67,0.921,21.350786,6.62,18.26,5.99,12.995896032831737,31.88,193.7,-34764.4,-54131.84,-439.2
200,dataset3.DRfold.ENST00000618281.DPR.fixed.pdb,DRfold,0.65,0.6,10.493436,6.99,28.78,3.37,35.9465936323177,34.07,1965.15,-40182.5,-56561.94,-340.8
201,dataset1.DeepFoldRNA.ENST00000618281.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.6,0.552,13.679863,7.4,16.11,4.71,21.21312562147829,25.3,-9.44,-48385.9,-57792.43,-477.38
203,dataset3.3dRNA.ENST00000618281.test_01.pred2.min.fixed.pdb,3dRNA,0.66,0.873,28.771013,7.41,32.38,5.46,37.31598767545361,31.03,631.91,-27338.3,-58212.18,-465.66
204,dataset3.DRfold2.ENST00000621422.DPR.fixed.pdb,DRfold2,0.59,0.712,11.636687,6.81,21.2,5.43,14.73063973063973,35.47,327.81,-31978.3,-47931.04,-433.88
205,dataset1.SimRNA.ENST00000621422.fixed.pdb,SimRNA,0.6,0.373,13.435053,7.01,17.44,4.74,53.45117845117845,35.3,707.28,-35787.0,-48725.09,-417.36
207,dataset3.trRosettaRNA.ENST00000621422.model_1.fixed.pdb,trRosettaRNA,0.59,0.486,26.662945,7.31,23.31,7.29,14.30976430976431,28.95,125.24,-28532.2,-40585.15,-306.99
209,dataset3.RoseTTAFold2NA.ENST00000621422.model_00.fixed.pdb,RoseTTAFold2NA,0.57,0.389,11.786085,7.42,13.21,7.82,48.821548821548824,32.17,221.53,-33466.3,-41236.0,-308.93
210,dataset3.Rhofold.ENST00000621422.relaxed_1000.fixed.pdb,RhoFold,0.43,0.464,37.4648,7.12,64.19,6.93,40.4551201011378,48.09,1448.8,131.58,-44458.11,-229.95
211,dataset3.RNAJP.ENST00000621422.em_predicted_ENST00000621422-1.fixed.pdb,RNAJP,0.69,0.702,11.435124,6.21,13.24,4.76,33.45573235414117,28.56,-113.58,-38184.7,-52870.12,-483.22
213,dataset3.DRfold.ENST00000621422.DPR.fixed.pdb,DRfold,0.55,0.606,11.03572,8.8646946,26.97,6.27,348.0825958702065,42.83,5244.39,-17514.0,-48367.23,-318.31
215,dataset3.AF3.ENST00000621422.model_0.fixed.pdb,Alphafold3,0.75,0.512,3.2725477,5.61,9.91,3.04,15.247776365946633,35.66,-153.57,-45054.1,-61773.13,-641.87
217,dataset3.RNAComposer.ENST00000621422.fixed.pdb,RNAComposer,0.66,0.831,13.286361,6.71,19.38,6.29,45.51201011378002,30.33,85.82,-26026.2,-47486.23,-411.5
223,dataset3.NuFold.ENST00000621422_rank_1.pdb,NuFold,0.67,0.459,10.071364,6.19,12.59,4.96,23.521932612841702,34.26,166.45,-42250.0,-53635.17,-459.45
224,dataset1.DeepFoldRNA.ENST00000621422.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.66,0.487,9.814189,6.45,12.92,4.07,19.183673469387756,27.51,2.27,-40347.7,-46666.51,-361.22
225,dataset3.3dRNA.ENST00000621422.test_01.pred4.min.fixed.pdb,3dRNA,0.63,0.521,18.070475,6.75,28.54,5.73,29.49852507374631,30.8,192.44,-26730.5,-47398.54,-419.12
235,dataset3.RNAJP.ENST00000628469.em_predicted_ENST00000628469-1.fixed.pdb,RNAJP,0.59,0.621,19.961561,6.38,18.36,5.53,29.537504858142245,30.21,21.54,-29567.3,-54745.81,-435.12
237,dataset3.trRosettaRNA.ENST00000628469.model_1.fixed.pdb,trRosettaRNA,0.62,0.461,23.372423,7.18,19.9,7.08,13.231756214915798,26.99,86.64,-36772.8,-43917.22,-392.33
238,dataset3.NuFold.ENST00000628469_rank_1.pdb,NuFold,0.61,0.385,8.572293,6.7,12.36,5.2,129.98790810157195,32.7,2393.2,-39276.5,-43565.63,-352.88
241,dataset3.DRfold.ENST00000628469.DPR.fixed.pdb,DRfold,0.57,0.405,23.136896,7.21,31.51,5.42,37.735849056603776,35.8,1251.82,-18761.8,-41054.88,-211.26
242,dataset1.SimRNA.ENST00000628469.fixed.pdb,SimRNA,0.55,0.368,20.502851,7.52,19.08,5.77,55.73376102646351,34.9,644.49,-27794.7,-47451.81,-413.11
243,dataset3.Rhofold.ENST00000628469.relaxed_1000.fixed.pdb,RhoFold,0.58,0.758,27.200018,7.54,61.86,6.32,6.423123243677238,41.18,456.5,-32010.6,-46419.09,-415.58
244,dataset3.Vfold.ENST00000628469.npk1_vfold.fixed.pdb,Vfold,0.68,0.695,15.087783,6.69,16.23,4.72,117.08099438652766,35.66,919.63,-29479.7,-52554.03,-374.89
246,dataset3.DRfold2.ENST00000628469.DPR.fixed.pdb,DRfold2,0.69,0.416,7.0374393,6.22,17.59,4.04,20.04811547714515,32.73,148.18,-43948.8,-51293.78,-429.78
247,dataset1.DeepFoldRNA.ENST00000628469.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.65,0.37,4.501192,6.46,13.93,4.34,18.662519440124417,25.53,-5.24,-45167.9,-44049.43,-297.43
249,dataset3.RoseTTAFold2NA.ENST00000628469.model_00.fixed.pdb,RoseTTAFold2NA,0.69,0.359,2.7917228,6.9,12.16,5.8,37.28949478748998,29.42,78.62,-45407.1,-46808.81,-348.35
252,dataset3.AF3.ENST00000628469.model_0.fixed.pdb,Alphafold3,0.77,0.453,0.4420597,5.99,9.89,2.84,12.084592145015106,32.38,-183.64,-55059.2,-59793.2,-529.94
259,dataset3.RNAComposer.ENST00000628469.fixed.pdb,RNAComposer,0.67,0.853,17.941671,7.28,24.1,6.83,28.90405459654757,29.32,168.29,-29356.0,-42622.86,-310.3
260,dataset3.3dRNA.ENST00000628469.test_01.pred2.min.fixed.pdb,3dRNA,0.63,0.567,24.67661,7.63,29.4,7.53,19.67081493376154,29.72,278.08,-24641.2,-44137.48,-338.58
266,dataset3.AF3.ENSMUST00000083321.model_0.fixed.pdb,Alphafold3,0.79,0.555,2.5426798,5.52,9.61,2.79,20.555355210962855,30.39,-126.46,-94503.0,-112963.29,-968.14
268,dataset3.Rhofold.ENSMUST00000083321.relaxed_1000.fixed.pdb,RhoFold,0.44,0.529,60.98323,10.3408394,50.61,5.48,100.43041606886658,40.1,3538.58,2900.45,-93416.18,-650.46
271,dataset3.DRfold.ENSMUST00000083321.DPR.fixed.pdb,DRfold,0.62,0.527,16.319191,7.5984006,22.48,2.31,135.82018173122907,32.91,5672.75,-52003.1,-88678.42,-512.42
272,dataset3.DRfold2.ENSMUST00000083321.DPR.fixed.pdb,DRfold2,0.57,0.5,32.348316,6.65,26.26,4.73,42.77180406212664,33.11,2241.83,-46086.5,-89742.11,-727.3
279,dataset1.SimRNA.ENSMUST00000083321.fixed.pdb,SimRNA,0.62,0.323,18.620193,6.9,16.8,4.38,53.04659498207885,31.01,794.61,-68142.3,-91188.7,-722.26
281,dataset1.DeepFoldRNA.ENSMUST00000083321.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.66,0.511,20.791153,6.46,13.9,4.3,23.86468952734013,26.18,34.11,-67408.5,-89237.62,-544.92
283,dataset3.RNAComposer.MUST00000083321.fixed.pdb,RNAComposer,0.68,0.75,17.925756,6.4,16.76,5.27,35.38976566236251,27.63,21.21,-65254.3,-90350.1,-727.36
284,dataset3.RNAJP.ENSMUST00000083321.em_predicted_ENSMUST00000083321-1.fixed.pdb,RNAJP,0.68,0.501,26.922215,6.29,18.08,5.01,34.05142460041696,27.74,47.98,-64867.6,-94779.31,-618.72
286,dataset3.3dRNA.ENSMUST00000083321.test_01.pred2.min.fixed.pdb,3dRNA,0.67,0.725,29.221617,6.76,30.87,5.47,29.890004782400766,28.54,407.03,-63219.0,-91099.65,-654.49
288,dataset3.NuFold.ENSMUST00000083321_rank_1.pdb,NuFold,0.72,0.413,7.890277,6.06,10.78,3.77,19.48051948051948,29.66,269.65,-88176.6,-93715.82,-670.42
289,dataset3.RoseTTAFold2NA.ENSMUST00000083321.model_00.fixed.pdb,RoseTTAFold2NA,0.65,0.369,24.223179,7.26,14.12,7.77,22.700119474313023,28.35,229.67,-62013.2,-77509.98,-479.04
290,dataset3.trRosettaRNA.ENSMUST00000083321.model_1.fixed.pdb,trRosettaRNA,0.63,0.465,27.59164,6.89,17.03,6.24,20.07168458781362,26.28,46.11,-64903.3,-82961.31,-660.8
293,dataset1.SimRNA.ENSMUST00000102350.fixed.pdb,SimRNA,0.58,0.331,14.315547,8.2639618,17.22,4.49,59.531772575250834,32.76,992.93,-44522.3,-62194.48,-561.11
294,dataset3.Rhofold.ENSMUST00000102350.relaxed_1000.fixed.pdb,RhoFold,0.4,0.535,52.437088,11.5527515,59.21,6.73,54.904586541680615,42.94,1994.09,5459.38,-63660.98,-465.96
297,dataset3.DRfold2.ENSMUST00000102350.DPR.fixed.pdb,DRfold2,0.7,0.623,6.879168,6.17,15.67,3.92,24.74916387959866,31.78,470.33,-54252.2,-68479.5,-634.97
304,dataset3.NuFold.ENSMUST00000102350_rank_1.pdb,NuFold,0.7,0.455,7.211963,6.1,11.1,4.89,23.138832997987926,30.08,265.01,-56097.2,-59755.42,-451.63
305,dataset1.DeepFoldRNA.ENSMUST00000102350.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.58,0.458,11.48553,6.69,10.95,4.26,21.73207914369121,24.62,33.13,-49699.6,-55242.11,-421.48
312,dataset3.RNAComposer.MUST00000102350.fixed.pdb,RNAComposer,0.63,0.784,13.326347,6.71,17.36,5.25,27.452293270840308,27.78,82.94,-45312.9,-60185.8,-595.72
313,dataset3.trRosettaRNA.ENSMUST00000102350.model_1.fixed.pdb,trRosettaRNA,0.6,0.504,27.453358,7.07,20.62,7.15,16.387959866220736,26.56,162.96,-37996.5,-53534.54,-452.53
315,dataset3.DRfold.ENSMUST00000102350.DPR.fixed.pdb,DRfold,0.49,0.46,23.519585,9.3370667,37.78,4.26,319.38399732172746,38.34,6786.36,-8902.46,-51240.34,-283.68
318,dataset3.RNAJP.ENSMUST00000102350.em_predicted_ENSMUST00000102350-1.fixed.pdb,RNAJP,0.63,0.72,22.743666,7.0,18.07,6.63,27.561608300907913,26.95,57.45,-40231.2,-60010.97,-522.14
319,dataset3.AF3.ENSMUST00000102350.model_0.fixed.pdb,Alphafold3,0.72,0.836,-1.1398599,6.8285995,9.32,2.57,68.87883358471593,32.78,364.0,-63319.2,-78940.76,-786.33
320,dataset3.RoseTTAFold2NA.ENSMUST00000102350.model_00.fixed.pdb,RoseTTAFold2NA,0.61,0.355,12.67114,7.54,12.99,10.45,12.040133779264215,27.29,195.46,-33998.0,-34007.0,-179.83
322,dataset3.RNAComposer.MUST00000122608.fixed.pdb,RNAComposer,0.72,0.38,15.200575,6.89,13.57,4.65,3.541912632821724,26.51,112.42,-67286.0,-49260.61,-390.54
324,dataset3.3dRNA.ENSMUST00000122608.test_01.pred2.min.fixed.pdb,3dRNA,0.62,0.8,38.6954,7.3,28.54,5.89,22.43211334120425,28.68,522.28,-45742.1,-83066.46,-642.08
