,rna,method,LociPARSE,RNArank,RNA3DCNN,ARES,tb_mcq,PAMnet,clash,3drnascore,RNA-BRiQ,RASP-ENERGY,DFIRE,cgRNASP
19,dataset3.NuFold.ENSMUST00000082395_rank_1.pdb,NuFold,0.65,0.557,10.247248,6.45,10.1,5.01,10.28101439342015,33.01,170.42,-33825.4,-43000.57,-369.35
20,dataset3.trRosettaRNA.ENSMUST00000082395.model_1.fixed.pdb,trRosettaRNA,0.71,0.909,16.539791,6.53,23.15,4.92,27.247956403269754,27.82,68.67,-28879.6,-47582.12,-473.91
21,dataset1.DeepFoldRNA.ENSMUST00000082395.model_5.refined_model.fixed.pdb,DeepFoldRNA,0.7,0.847,9.227133,6.65,15.59,3.69,48.87714663143989,27.64,177.13,-33363.8,-51544.92,-476.2
22,dataset3.RNAJP.ENSMUST00000082395.em_predicted_ENSMUST00000082395-10.fixed.pdb,RNAJP,0.7,0.761,10.770518,5.92,11.67,4.39,31.690140845070424,26.71,-98.68,-37016.4,-46977.28,-375.4
23,dataset3.RNAJP.ENSMUST00000082395.em_predicted_ENSMUST00000082395-5.fixed.pdb,RNAJP,0.75,0.819,10.44604,6.06,12.26,4.44,30.809859154929576,27.69,-69.25,-37611.0,-49016.75,-418.62
24,dataset3.RNAJP.ENSMUST00000082395.em_predicted_ENSMUST00000082395-4.fixed.pdb,RNAJP,0.72,0.79,10.233056,6.19,11.08,4.44,30.809859154929576,27.39,-31.33,-36868.7,-48303.53,-400.1
25,dataset3.RNAJP.ENSMUST00000082395.em_predicted_ENSMUST00000082395-8.fixed.pdb,RNAJP,0.75,0.776,9.935311,6.05,11.15,4.38,33.01056338028169,26.82,-96.16,-38313.7,-48948.51,-392.73
26,dataset1.DeepFoldRNA.ENSMUST00000082395.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.72,0.843,9.783337,6.4,12.65,3.26,29.94275649493615,27.32,32.39,-31411.9,-50605.63,-460.54
27,dataset3.Rhofold.ENSMUST00000082395.relaxed_1000.fixed.pdb,RhoFold,0.71,0.872,17.371904,8.079504,40.23,4.85,17.280582082764894,42.14,179.4,-27417.7,-45136.2,-443.62
28,dataset3.RNAJP.ENSMUST00000082395.em_predicted_ENSMUST00000082395-9.fixed.pdb,RNAJP,0.73,0.762,9.66449,5.77,10.62,4.37,31.690140845070424,26.24,-107.14,-38037.5,-48024.99,-392.53
29,dataset3.DRfold2.ENSMUST00000082395.DPR.fixed.pdb,DRfold2,0.82,0.941,6.591882,5.92,12.66,4.37,20.89009990917348,36.04,12.02,-37368.4,-55666.89,-614.62
30,dataset3.3dRNA.ENSMUST00000083458.test_01.pred5.min.fixed.pdb,3dRNA,0.56,0.505,24.83965,7.51,30.43,5.82,99.95835068721367,33.66,962.6,-13230.9,-47872.02,-364.48
31,dataset3.DRfold2.ENSMUST00000083458.DPR.fixed.pdb,DRfold2,0.68,0.619,11.365468,7.9096446,19.56,5.16,31.61397670549085,33.67,247.39,-37359.4,-54470.09,-495.05
32,dataset3.RNAJP.ENSMUST00000083458.em_predicted_ENSMUST00000083458-3.fixed.pdb,RNAJP,0.63,0.571,13.09778,6.62,14.74,4.71,27.419354838709676,26.52,-51.34,-38592.0,-50719.0,-435.32
33,dataset1.DeepFoldRNA.ENSMUST00000083458.model_5.refined_model.fixed.pdb,DeepFoldRNA,0.57,0.505,10.939703,6.73,17.37,3.72,104.88100040338847,28.56,707.25,-29207.6,-49805.88,-429.71
34,dataset1.DeepFoldRNA.ENSMUST00000083458.model_2.refined_model.fixed.pdb,DeepFoldRNA,0.58,0.472,15.286628,6.99,17.83,4.44,24.20330778539734,25.92,131.1,-34557.6,-44733.54,-366.19
35,dataset3.Rhofold.ENSMUST00000083458.relaxed_1000.fixed.pdb,RhoFold,0.51,0.582,29.44341,11.0273552,63.31,5.54,7.913369429404415,39.66,781.47,-20553.4,-39655.56,-353.1
36,dataset3.RNAJP.ENSMUST00000083458.em_predicted_ENSMUST00000083458-2.fixed.pdb,RNAJP,0.61,0.562,13.9511175,6.3,13.02,4.76,26.20967741935484,27.32,-47.22,-37083.0,-52070.78,-424.39
37,dataset3.RNAJP.ENSMUST00000083458.em_predicted_ENSMUST00000083458-9.fixed.pdb,RNAJP,0.61,0.488,13.435583,6.61,13.55,5.05,28.225806451612904,26.58,-62.14,-38199.2,-49827.83,-416.6
38,dataset3.DRfold.ENSMUST00000083458.DPR.fixed.pdb,DRfold,0.62,0.607,11.687431,8.6066589,21.96,4.08,71.63681799250313,34.74,1364.1,-30798.4,-48327.6,-406.09
39,dataset3.RNAJP.ENSMUST00000083458.em_predicted_ENSMUST00000083458-5.fixed.pdb,RNAJP,0.63,0.531,15.890056,6.74,15.86,5.1,26.20967741935484,26.5,-60.04,-37254.7,-49928.48,-410.94
40,dataset1.DeepFoldRNA.ENSMUST00000083458.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.61,0.567,11.711347,7.1,15.31,4.35,28.237192416296892,24.9,125.66,-36244.9,-47204.27,-382.7
41,dataset1.SimRNA.ENSMUST00000083458.fixed.pdb,SimRNA,0.62,0.287,12.153596,8.634676,19.97,5.29,51.16472545757072,33.55,871.88,-34395.2,-46059.37,-392.32
42,dataset3.RNAComposer.MUST00000083458.fixed.pdb,RNAComposer,0.61,0.564,15.906804,7.05,18.52,5.76,65.38942107455227,29.1,427.17,-24533.7,-48050.71,-413.54
43,dataset1.DeepFoldRNA.ENSMUST00000083458.model_4.refined_model.fixed.pdb,DeepFoldRNA,0.53,0.484,15.228174,6.98,17.26,4.52,14.521984671238403,25.92,120.67,-35377.3,-40376.66,-297.4
44,dataset3.RoseTTAFold2NA.ENSMUST00000083458.model_00.fixed.pdb,RoseTTAFold2NA,0.55,0.479,12.95929,7.42,12.15,5.62,29.534109816971714,28.41,379.38,-41599.8,-46006.37,-375.69
45,dataset3.RNAJP.ENSMUST00000083458.em_predicted_ENSMUST00000083458-10.fixed.pdb,RNAJP,0.61,0.604,14.664553,6.28,14.66,4.73,25.806451612903224,27.56,-31.37,-36883.5,-51942.66,-443.97
46,dataset3.3dRNA.ENSMUST00000083458.test_01.pred1.min.fixed.pdb,3dRNA,0.58,0.496,26.067717,7.39,31.31,6.52,83.29862557267805,31.87,1339.92,-13328.9,-42721.47,-297.75
47,dataset3.RNAJP.ENSMUST00000083458.em_predicted_ENSMUST00000083458-6.fixed.pdb,RNAJP,0.61,0.53,14.124147,6.57,14.4,4.6,26.612903225806452,26.99,-54.64,-38051.1,-51728.75,-424.17
48,dataset3.RNAJP.ENSMUST00000083458.em_predicted_ENSMUST00000083458-7.fixed.pdb,RNAJP,0.63,0.614,12.34612,6.4,15.56,4.9,25.403225806451612,26.83,-39.13,-38423.3,-50588.64,-426.79
49,dataset3.3dRNA.ENSMUST00000083458.test_01.pred3.min.fixed.pdb,3dRNA,0.54,0.462,26.716139,7.28,27.48,7.05,77.46772178259059,31.5,1068.39,-15271.2,-44636.54,-300.96
50,dataset1.DeepFoldRNA.ENSMUST00000083458.model_6.refined_model.fixed.pdb,DeepFoldRNA,0.54,0.451,10.124609,6.78,14.85,4.02,17.749092375958046,24.81,32.29,-40255.3,-44777.45,-374.12
51,dataset3.NuFold.ENSMUST00000083458_rank_1.pdb,NuFold,0.61,0.424,13.879625,6.77,13.67,6.32,12.507817385866167,30.26,515.95,-36893.3,-42592.8,-376.33
52,dataset3.3dRNA.ENSMUST00000083458.test_01.pred2.min.fixed.pdb,3dRNA,0.51,0.513,29.129253,7.88,33.67,6.67,82.46563931695127,33.44,1337.71,-5687.2,-41989.45,-284.64
53,dataset1.DeepFoldRNA.ENSMUST00000083458.model_3.refined_model.fixed.pdb,DeepFoldRNA,0.61,0.475,10.639929,6.88,14.8,4.37,18.55586930213796,24.19,8.79,-37668.5,-43756.83,-366.66
54,dataset3.RNAJP.ENSMUST00000083458.em_predicted_ENSMUST00000083458-1.fixed.pdb,RNAJP,0.63,0.596,13.406586,6.4,16.67,4.3,29.838709677419356,27.51,-42.6,-35535.3,-54267.93,-455.47
55,dataset3.3dRNA.ENSMUST00000083458.test_01.pred4.min.fixed.pdb,3dRNA,0.65,0.517,25.193497,7.86,30.74,7.85,19.991670137442732,28.76,243.37,-22426.4,-39944.65,-273.18
56,dataset3.RNAJP.ENSMUST00000083458.em_predicted_ENSMUST00000083458-4.fixed.pdb,RNAJP,0.66,0.543,11.10516,6.64,14.8,4.5,29.032258064516128,25.78,-42.58,-38499.1,-48906.06,-372.41
57,dataset3.RNAJP.ENSMUST00000083458.em_predicted_ENSMUST00000083458-8.fixed.pdb,RNAJP,0.62,0.543,17.66291,6.85,18.42,5.82,28.225806451612904,27.66,1.98,-33024.1,-50391.07,-456.5
58,dataset3.AF3.ENSMUST00000083458.model_0.fixed.pdb,Alphafold3,0.76,0.553,3.1500227,6.5539603,10.71,2.6,17.5,32.84,-115.72,-49461.6,-58791.12,-605.46
59,dataset3.trRosettaRNA.ENSMUST00000083458.model_1.fixed.pdb,trRosettaRNA,0.5,0.44,29.507174,8.36,21.62,9.41,8.319467554076539,27.04,178.91,-21829.0,-30147.12,-272.69
60,dataset3.RNAJP.ENSMUST00000104106.em_predicted_ENSMUST00000104106-5.fixed.pdb,RNAJP,0.69,0.508,9.857562,6.52,13.85,4.82,26.617375231053604,25.73,-1.48,-43401.7,-50649.61,-416.0
61,dataset1.DeepFoldRNA.ENSMUST00000104106.model_2.refined_model.fixed.pdb,DeepFoldRNA,0.6,0.251,-0.9310041,6.38,11.18,4.68,0.0,25.52,32.76,-39598.6,-27939.54,-121.18
62,dataset3.RNAJP.ENSMUST00000104106.em_predicted_ENSMUST00000104106-4.fixed.pdb,RNAJP,0.68,0.536,9.808276,6.58,13.57,4.62,28.09611829944547,25.68,-10.79,-43621.0,-51407.51,-460.18
63,dataset3.3dRNA.ENSMUST00000104106.test_01.pred3.min.fixed.pdb,3dRNA,0.62,0.525,26.704689,7.9,28.74,7.16,17.57066462948816,29.01,411.56,-24970.3,-42414.96,-381.34
64,dataset1.DeepFoldRNA.ENSMUST00000104106.model_5.refined_model.fixed.pdb,DeepFoldRNA,0.63,0.236,1.1458924,6.81,12.11,5.29,0.0,25.74,44.54,-36977.6,-27083.29,-112.86
65,dataset3.Rhofold.ENSMUST00000104106.relaxed_1000.fixed.pdb,RhoFold,0.55,0.64,26.24098,8.59,53.93,8.02,6.875477463712758,36.6,547.66,-22618.8,-38188.83,-291.38
66,dataset3.RNAJP.ENSMUST00000104106.em_predicted_ENSMUST00000104106-8.fixed.pdb,RNAJP,0.68,0.501,9.868607,6.58,12.75,4.63,24.399260628465804,25.54,-60.24,-45595.2,-51709.81,-428.03
67,dataset3.RNAJP.ENSMUST00000104106.em_predicted_ENSMUST00000104106-6.fixed.pdb,RNAJP,0.67,0.624,12.385151,6.81,14.45,4.78,26.98706099815157,27.02,14.51,-43679.0,-54389.03,-511.36
68,dataset1.DeepFoldRNA.ENSMUST00000104106.model_6.refined_model.fixed.pdb,DeepFoldRNA,0.64,0.319,1.463708,6.57,10.78,4.9,0.3698224852071006,25.87,47.64,-39799.2,-28562.61,-118.46
69,dataset3.3dRNA.ENSMUST00000104106.test_01.pred2.min.fixed.pdb,3dRNA,0.59,0.564,27.77031,7.91,27.34,7.75,16.80672268907563,28.82,275.93,-24027.0,-43193.18,-355.18
70,dataset3.3dRNA.ENSMUST00000104106.test_01.pred5.min.fixed.pdb,3dRNA,0.59,0.501,28.480656,7.86,33.35,7.75,16.424751718869366,28.47,471.06,-24487.5,-38572.12,-316.96
71,dataset3.RNAComposer.MUST00000104106.fixed.pdb,RNAComposer,0.61,0.813,8.121326,6.2,13.75,7.11,11.077158135981666,28.67,3.52,-43599.8,-50112.38,-408.57
72,dataset3.trRosettaRNA.ENSMUST00000104106.model_1.fixed.pdb,trRosettaRNA,0.55,0.389,26.01599,7.58,18.89,8.1,6.104540251812286,26.75,157.51,-30002.9,-34349.16,-305.97
73,dataset3.RNAJP.ENSMUST00000104106.em_predicted_ENSMUST00000104106-9.fixed.pdb,RNAJP,0.68,0.511,13.159941,6.51,13.07,4.76,29.57486136783734,26.14,-13.9,-44483.2,-55047.27,-479.08
74,dataset3.3dRNA.ENSMUST00000104106.test_01.pred1.min.fixed.pdb,3dRNA,0.59,0.463,28.544384,7.76,33.12,7.35,21.390374331550802,28.94,408.24,-22266.3,-39639.0,-335.42
75,dataset3.RNAJP.ENSMUST00000104106.em_predicted_ENSMUST00000104106-2.fixed.pdb,RNAJP,0.71,0.501,9.675046,6.3,12.46,4.68,27.726432532347506,26.05,9.48,-45861.7,-54844.34,-464.72
76,dataset3.AF3.ENSMUST00000104106.model_0.fixed.pdb,Alphafold3,0.74,0.586,4.114191,6.71,9.82,3.31,5.178365937859609,31.9,-185.81,-57276.2,-63646.83,-704.63
77,dataset3.3dRNA.ENSMUST00000104106.test_01.pred4.min.fixed.pdb,3dRNA,0.57,0.514,32.80848,7.99,30.46,8.17,20.626432391138273,29.31,291.92,-20318.4,-39227.55,-342.93
78,dataset3.NuFold.ENSMUST00000104106_rank_1.pdb,NuFold,0.57,0.41,12.585154,7.56,11.54,7.07,7.484168105929764,29.79,321.33,-34126.6,-38346.0,-274.9
79,dataset3.RNAJP.ENSMUST00000104106.em_predicted_ENSMUST00000104106-10.fixed.pdb,RNAJP,0.68,0.506,11.733964,6.6,13.51,4.76,24.029574861367838,26.09,-26.34,-43943.9,-52380.19,-454.17
80,dataset1.DeepFoldRNA.ENSMUST00000104106.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.6,0.245,3.9766295,6.88,12.25,5.56,0.0,25.79,46.97,-33752.8,-26000.34,-127.19
81,dataset1.SimRNA.ENSMUST00000104106.fixed.pdb,SimRNA,0.58,0.288,13.482954,7.53,19.29,3.98,34.719572682182374,32.11,730.85,-37048.2,-45408.98,-387.0
82,dataset3.RNAJP.ENSMUST00000104106.em_predicted_ENSMUST00000104106-1.fixed.pdb,RNAJP,0.7,0.507,9.128784,6.54,11.54,4.6,24.399260628465804,25.74,-91.6,-45208.7,-53514.57,-424.27
83,dataset3.DRfold2.ENSMUST00000104106.DPR.fixed.pdb,DRfold2,0.65,0.406,9.998133,7.02,18.06,5.57,13.353681800839375,31.35,424.87,-40121.4,-43869.78,-355.08
84,dataset3.RoseTTAFold2NA.ENSMUST00000104106.model_00.fixed.pdb,RoseTTAFold2NA,0.62,0.319,8.841332,7.8,10.63,9.36,4.196871423120946,27.48,75.98,-32055.2,-27564.41,-115.01
85,dataset3.RNAJP.ENSMUST00000104106.em_predicted_ENSMUST00000104106-3.fixed.pdb,RNAJP,0.72,0.506,10.744802,6.8,14.59,4.89,26.617375231053604,25.85,-4.93,-44800.1,-53158.45,-426.74
86,dataset1.DeepFoldRNA.ENSMUST00000104106.model_3.refined_model.fixed.pdb,DeepFoldRNA,0.58,0.248,-0.87349755,6.62,10.11,5.88,0.0,25.76,20.56,-33371.2,-26419.46,-96.44
87,dataset1.DeepFoldRNA.ENSMUST00000104106.model_4.refined_model.fixed.pdb,DeepFoldRNA,0.62,0.267,7.6348314,7.21,15.68,5.97,0.3698224852071006,26.18,95.34,-34402.6,-26609.95,-119.98
88,dataset3.DRfold.ENSMUST00000104106.DPR.fixed.pdb,DRfold,0.47,0.407,29.804956,8.43,35.26,6.84,115.7372039724981,34.78,3774.33,-9341.67,-31673.2,-83.32
89,dataset3.RNAJP.ENSMUST00000104106.em_predicted_ENSMUST00000104106-7.fixed.pdb,RNAJP,0.67,0.557,12.341549,6.53,14.56,4.94,26.247689463955638,25.8,-9.06,-40625.6,-50494.6,-427.8
90,dataset3.RNAJP.ENSMUST00000196796.em_predicted_ENSMUST00000196796-8.fixed.pdb,RNAJP,0.7,0.675,8.03402,6.14,14.82,4.13,29.41176470588235,27.17,-73.18,-38595.9,-48211.08,-417.05
91,dataset3.RNAJP.ENSMUST00000196796.em_predicted_ENSMUST00000196796-5.fixed.pdb,RNAJP,0.67,0.658,10.491338,5.94,15.22,3.89,28.97278314310799,27.04,-47.33,-37132.5,-48009.88,-403.47
92,dataset3.RNAJP.ENSMUST00000196796.em_predicted_ENSMUST00000196796-3.fixed.pdb,RNAJP,0.7,0.652,10.029761,6.14,14.65,4.31,28.97278314310799,27.2,30.62,-37551.9,-48157.33,-407.54
93,dataset3.3dRNA.ENSMUST00000196796.test_01.pred3.min.fixed.pdb,3dRNA,0.64,0.859,15.742499,7.15,28.94,4.84,56.235827664399096,30.76,450.42,-28908.3,-44644.13,-380.76
94,dataset3.3dRNA.ENSMUST00000196796.test_01.pred2.min.fixed.pdb,3dRNA,0.64,0.847,16.4137,6.8,28.56,4.39,72.56235827664399,31.39,807.47,-27163.8,-46815.52,-423.11
95,dataset3.AF3.ENSMUST00000196796.model_0.fixed.pdb,Alphafold3,0.8,0.636,-0.5352511,5.96,10.92,2.61,8.867667121418826,33.35,-211.63,-51441.5,-55828.75,-553.81
96,dataset1.DeepFoldRNA.ENSMUST00000196796.model_1.refined_model.fixed.pdb,DeepFoldRNA,0.65,0.704,9.624161,6.77,15.55,4.41,25.47211242863417,24.72,-1.91,-37187.4,-44744.46,-335.82
97,dataset3.RoseTTAFold2NA.ENSMUST00000196796.model_00.fixed.pdb,RoseTTAFold2NA,0.68,0.486,7.932467,6.91,12.96,6.88,102.80797101449275,29.72,540.23,-36409.3,-42043.17,-352.32
98,dataset3.Rhofold.ENSMUST00000196796.relaxed_1000.fixed.pdb,RhoFold,0.6,0.752,24.184208,8.29,66.97,7.93,8.616780045351474,39.71,491.16,-21775.6,-33942.06,-306.8
99,dataset3.Vfold.ENSMUST00000196796.npk1_vfold.fixed.pdb,Vfold,0.74,0.791,9.551408,6.35,11.96,5.3,15.398550724637682,32.83,-90.54,-37526.7,-46710.71,-395.56
100,dataset1.DeepFoldRNA.ENSMUST00000196796.model_5.refined_model.fixed.pdb,DeepFoldRNA,0.64,0.685,7.103429,6.56,15.17,3.6,21.958717610891522,24.34,-29.47,-39482.0,-45920.65,-387.67
101,dataset3.NuFold.ENSMUST00000196796_rank_1.pdb,NuFold,0.68,0.567,6.8736706,6.32,12.75,4.96,10.238907849829351,32.2,39.07,-40078.4,-46207.66,-379.37
102,dataset1.SimRNA.ENSMUST00000196796.fixed.pdb,SimRNA,0.67,0.558,11.179517,6.86,16.66,4.19,40.76086956521739,34.98,424.54,-37231.9,-48740.76,-455.72
103,dataset3.RNAJP.ENSMUST00000196796.em_predicted_ENSMUST00000196796-4.fixed.pdb,RNAJP,0.69,0.689,10.053548,6.18,16.32,4.04,30.28972783143108,27.23,49.05,-37410.7,-48681.51,-427.01
104,dataset3.RNAJP.ENSMUST00000196796.em_predicted_ENSMUST00000196796-1.fixed.pdb,RNAJP,0.68,0.688,9.162761,5.97,14.7,4.44,29.850746268656717,27.07,-69.34,-37650.0,-48352.17,-419.09
105,dataset3.RNAJP.ENSMUST00000196796.em_predicted_ENSMUST00000196796-10.fixed.pdb,RNAJP,0.69,0.66,9.335679,6.07,14.91,3.88,29.41176470588235,27.16,-30.23,-37030.7,-47901.49,-381.62
106,dataset3.3dRNA.ENSMUST00000196796.test_01.pred5.min.fixed.pdb,3dRNA,0.66,0.909,15.007835,6.65,29.71,4.56,63.945578231292515,31.69,469.57,-29522.5,-49739.67,-427.52
107,dataset1.DeepFoldRNA.ENSMUST00000196796.model_2.refined_model.fixed.pdb,DeepFoldRNA,0.64,0.711,7.92966,6.78,17.3,3.74,24.593763724198507,24.67,-17.92,-38835.6,-45042.86,-356.52
108,dataset1.DeepFoldRNA.ENSMUST00000196796.model_6.refined_model.fixed.pdb,DeepFoldRNA,0.65,0.698,8.039762,6.57,14.57,3.94,21.080368906455863,24.19,-51.87,-40916.8,-46105.36,-379.71
109,dataset3.3dRNA.ENSMUST00000196796.test_01.pred1.min.fixed.pdb,3dRNA,0.65,0.862,11.440818,6.6,23.86,4.11,28.571428571428573,28.59,170.47,-34016.0,-46048.1,-401.59
110,dataset3.3dRNA.ENSMUST00000196796.test_01.pred4.min.fixed.pdb,3dRNA,0.66,0.905,15.378267,6.4,25.91,4.19,59.41043083900227,31.26,475.16,-29421.6,-48551.47,-441.85
111,dataset3.DRfold.ENSMUST00000196796.DPR.fixed.pdb,DRfold,0.71,0.71,8.7513485,6.91,17.91,4.66,50.34013605442177,34.18,1720.42,-39347.4,-46810.4,-448.91
112,dataset3.RNAJP.ENSMUST00000196796.em_predicted_ENSMUST00000196796-2.fixed.pdb,RNAJP,0.71,0.67,7.9929028,5.91,13.94,4.74,28.97278314310799,27.04,-44.11,-38414.2,-48665.52,-394.96
113,dataset3.trRosettaRNA.ENSMUST00000196796.model_1.fixed.pdb,trRosettaRNA,0.64,0.654,14.90671,7.5,18.69,6.6,18.115942028985508,25.33,24.05,-31873.7,-40041.34,-326.03
114,dataset1.DeepFoldRNA.ENSMUST00000196796.model_4.refined_model.fixed.pdb,DeepFoldRNA,0.63,0.66,8.028251,6.52,17.15,3.9,20.2020202020202,24.69,6.62,-39547.5,-46008.9,-375.08
115,dataset1.DeepFoldRNA.ENSMUST00000196796.model_3.refined_model.fixed.pdb,DeepFoldRNA,0.65,0.734,8.461554,6.8,16.39,3.81,22.397891963109355,24.36,-22.41,-40146.1,-45779.02,-382.83
116,dataset3.RNAJP.ENSMUST00000196796.em_predicted_ENSMUST00000196796-6.fixed.pdb,RNAJP,0.72,0.723,9.333014,5.81,13.38,3.98,30.728709394205442,27.09,-78.79,-38067.5,-48239.77,-413.43
117,dataset3.RNAJP.ENSMUST00000196796.em_predicted_ENSMUST00000196796-9.fixed.pdb,RNAJP,0.7,0.721,7.984115,5.91,14.47,4.08,28.09482001755926,27.05,-84.67,-38173.1,-48312.16,-408.79
118,dataset3.DRfold2.ENSMUST00000196796.DPR.fixed.pdb,DRfold2,0.75,0.68,5.050338,6.39,16.88,5.2,14.492753623188406,32.58,100.37,-41576.2,-48545.18,-458.53
119,dataset3.RNAJP.ENSMUST00000196796.em_predicted_ENSMUST00000196796-7.fixed.pdb,RNAJP,0.7,0.682,8.750927,6.01,14.3,3.93,29.850746268656717,27.22,-59.25,-38377.1,-48245.65,-387.04
120,dataset3.RNAComposer.MUST00000196796.fixed.pdb,RNAComposer,0.7,0.935,14.349211,7.23,24.36,6.08,36.281179138321995,28.38,139.93,-27125.3,-42555.68,-425.24
121,dataset3.RNAJP.ENST00000408239.em_predicted_ENST00000408239-9.fixed.pdb,RNAJP,0.65,0.685,16.408264,6.83,16.23,5.98,28.7283481199831,27.59,25.49,-31090.1,-43003.5,-318.91
122,dataset3.Rhofold.ENST00000408239.relaxed_1000.fixed.pdb,RhoFold,0.52,0.626,26.92934,8.23,61.33,6.32,10.475774770842428,41.26,495.14,-22585.4,-40677.06,-317.43
123,dataset3.RoseTTAFold2NA.ENST00000408239.model_00.fixed.pdb,RoseTTAFold2NA,0.66,0.421,12.521544,7.25,13.64,6.9,31.38622493461203,29.4,226.89,-35046.2,-39495.13,-298.96
124,dataset3.RNAJP.ENST00000408239.em_predicted_ENST00000408239-8.fixed.pdb,RNAJP,0.65,0.586,17.05304,6.75,16.33,6.21,27.88339670468948,27.33,22.54,-31426.5,-42283.22,-304.18
125,dataset3.NuFold.ENST00000408239_rank_1.pdb,NuFold,0.67,0.373,8.711967,6.71,10.87,5.94,1.3149243918474687,32.02,210.35,-39541.1,-44623.63,-352.09
